Open,High,Low,Volume,Close
5545.830078,5560.149902,5482.629883,40800,5535.689941
5539.720215,5540.680176,5399.049805,33400,5414.939941
5410.47998,5496.680176,5386.620117,36000,5443.439941
5446.879883,5446.879883,5347.049805,30600,5365.399902
5356.970215,5450.379883,5324.779785,25400,5400.990234
5412.129883,5435.399902,5345.149902,31800,5395.279785
5403.379883,5438.859863,5368.879883,26600,5414.439941
5448.290039,5552.339844,5448.290039,27000,5528.939941
5538.52002,5578.740234,5495.310059,32400,5571.370117
5595.930176,5608.310059,5509.580078,27800,5520.439941
5513.120117,5599.600098,5493.120117,26600,5590.600098
5599.120117,5750.290039,5599.120117,26200,5740.850098
5762.810059,5799.160156,5700.600098,28400,5788.080078
5809.740234,5905.350098,5798.370117,33000,5838.02002
5886.02002,5897.560059,5780.939941,24000,5822.419922
5827.069824,5860.669922,5774.879883,27400,5815.129883
5824.370117,5864.549805,5783.740234,22800,5838.450195
null,null,null,28600,null
5856.439941,5867.069824,5760.25,null,5783.790039
5823.529785,5920.180176,5743.580078,19800,5904.52002
null,null,null,23400,null
5923.839844,5927.040039,5824.209961,null,5843.970215
5870.410156,5903.129883,5843.77002,32400,5862.819824
5875.529785,5895.169922,5782.370117,23000,5800.540039
5814.879883,5819.919922,5765.379883,22000,5804.810059
5803.700195,5890.02002,5783.919922,20800,5876.419922
5888.169922,5947.569824,5863.600098,21400,5924.180176
5941.100098,5979.25,5905.580078,23800,5925.580078
null,null,null,31200,null
5841.299805,5841.299805,5704.279785,null,5712.279785
5709.430176,5757.52002,5659.830078,30600,5713.089844
5710.560059,5710.560059,5626.410156,26000,5668.430176
5674.759766,5710.450195,5632.990234,32600,5655.089844
5645.859863,5645.859863,5506,25000,5584.990234
5616.410156,5677.109863,5616.410156,26800,5647.149902
5665.669922,5695.180176,5648.640137,22800,5686.189941
5749.97998,5772.640137,5739.259766,31400,5757.299805
5748.339844,5748.339844,5645.790039,25000,5669.580078
5628.609863,5628.609863,5501.169922,22800,5555.839844
5472.029785,5472.029785,5309.419922,24800,5325.899902
5296.25,5387.870117,5296.25,33200,5358.350098
5234.509766,5487.339844,5131.029785,28800,5399.470215
5409.339844,5416.040039,5043.990234,45200,5069.870117
5020.890137,5020.890137,4227.5,49400,4505.160156
4547.700195,4949.27002,4547.700195,34000,4877.02002
4941.720215,5059.890137,4892.459961,37200,5006.100098
5048.169922,5073.700195,4912.169922,39600,4932.109863
4922.47998,4978.560059,4804.899902,37000,4961.569824
4993.450195,5132.899902,4993.450195,32200,5123.22998
