Open,Volume,High,Low,Close
1540.02002,10660000,1551.949951,1523.73999,1549.199951
1550,10460000,1557.109985,1534.97998,1547.589966
1552.060059,11000000,1557,1537.040039,1565.709961
1570.98999,15170000,1573.73999,1544.5,1526.609985
1516.060059,20630000,1578.099976,1516.630005,1518.22998
1520.76001,21010000,1530.849976,1495.640015,1513.530029
1511.930054,12520000,1530.959961,1500.569946,1520.530029
1526.380005,13130000,1526.829956,1502.290039,1519.040039
1519.839966,11790000,1530.619995,1508.030029,1527.290039
1531.079956,11290000,1535.319946,1512.959961,1541.630005
1541.170044,16920000,1547.709961,1517.089966,1536.699951
1530.849976,17010000,1552.52002,1519.719971,1529.130005
1530.390015,8140000,1536.01001,1516.859985,1514.449951
1513.420044,13570000,1535.890015,1502.869995,1502.290039
1500.339966,12970000,1525.569946,1494.839966,1511.23999
1517.430054,14150000,1519.390015,1491.73999,1529.930054
1536.579956,13790000,1537.390015,1507.680054,1537.609985
1540.369995,11430000,1548.170044,1524.430054,1556.420044
1558.140015,16080000,1561.349976,1530.5,1558.939941
1558.369995,18090000,1578.099976,1548.050049,1552.180054
1551.26001,13370000,1572.589966,1545.76001,1570.98999
1570.530029,17840000,1582.910034,1548.170044,1594.27002
1596.670044,16320000,1600.109985,1564.329956,1593.22998
1590.140015,21880000,1611.469971,1575.459961,1593.119995
1595.76001,16260000,1601.829956,1576.26001,1600.689941
1590.140015,18580000,1616.51001,1587.5,1613.420044
1614.449951,18470000,1622.819946,1576.829956,1626.380005
1624.890015,15150000,1633.140015,1605.160034,1622.819946
1625.339966,15710000,1637.5,1613.300049,1629.930054
1632.569946,18270000,1640.47998,1611.699951,1645.069946
1645.410034,16320000,1649.310059,1616.859985,1664.449951
1661.579956,19100000,1668.689941,1636.119995,1678.780029
1673.050049,16930000,1685.550049,1649.430054,1658.26001
1652.75,15180000,1689.219971,1651.030029,1672.819946
1681.540039,13910000,1675.459961,1641.969971,1697.709961
1689.790039,21280000,1702.75,1668.689941,1698.280029
1695.98999,16080000,1709.75,1678.670044,1692.660034
1694.040039,16000000,1709.52002,1674.079956,1696.900024
1701.829956,19340000,1714.790039,1679.589966,1713.98999
1722.589966,21010000,1728.900024,1683.369995,1709.060059
1706.189941,21070000,1732.569946,1687.5,1696.670044
1699.109985,13800000,1714.329956,1684.630005,1686.420044
1681.630005,17030000,1718.630005,1679.719971,1686.660034
1698.640015,17360000,1695.400024,1663.069946,1696.599976
1694.800049,16420000,1711.209961,1681.75,1699.829956
1698.040039,15780000,1713.47998,1682.829956,1702.949951
1714.800049,11750000,1715.160034,1688.699951,1746.050049
1750,20450000,1752.170044,1704.26001,1745.449951
1740.060059,22630000,1773.349976,1733.47998,1753.709961
1761.140015,17660000,1768.800049,1729.530029,1792.73999
1777.060059,22780000,1799.930054,1745.209961,1776.859985
1772.27002,15120000,1790.589966,1758.380005,1789.869995
1796.699951,16120000,1806.75,1763.650024,1787.949951
1793.819946,13870000,1806.98999,1773.469971,1804.23999
1807.949951,14320000,1820.76001,1784.359985,1768.560059
1784.359985,30170000,1821.23999,1764.849976,1782.930054
